"","x"
"1",3.30806340454859
"2",2.53404959574584
"3",6.63652510899403
"4",6.00662147248936
"5",4.70964320438408
"6",3.5563988421027
"7",0.501471211201814
"8",3.90253605171556
"9",6.87713984724783
"10",5.19106474656991
"11",3.64037783659696
"12",6.82125962341156
"13",4.75942895517861
"14",4.22513745764898
"15",6.22249009186711
"16",15.4895666131621
"17",6.07250026792412
"18",6.88489025012762
"19",3.20060506295324
"20",4.76703111858705
"21",3.79892440991933
"22",6.90787907641038
"23",7.68998316377189
"24",5.24302578645387
"25",0.0189524465885596
