"","x"
"1",8.54583046175052
"2",1.15216958778736
"3",5.18327143549168
"4",2.68011981712124
"5",1.05182522612769
"6",3.12705247026199
"7",0.344618343771109
"8",0.853306812531079
"9",1.37608638398736
"10",3.41988887628983
"11",1.03992874794586
"12",3.6610704016325
"13",1.18606615974524
"14",2.96838180986881
"15",1.39535733201834
"16",13.8041733547352
"17",3.23116493409067
"18",6.3127445975838
"19",1.1300440450238
"20",2.06560134566863
"21",1.51777711383328
"22",1.01087042767595
"23",2.73696631315384
"24",3.30629382927741
"25",0
