"","x"
"1",5.71383844708829
"2",5.55555555555556
"3",7.77894622330203
"4",0.29673590504451
"5",6.56165370568213
"6",5.00884660853559
"7",2.46947133632606
"8",6.61337418026902
"9",3.60099293651386
"10",3.01332597757127
"11",9.31360560854325
"12",4.73164513612755
"13",0.202998126171143
"14",4.32145405700374
"15",2.19190680564071
"16",0
"17",3.66235294117647
"18",7.08061685055165
"19",5.81531268264173
"20",7.4223753766215
"21",3.93688976163203
"22",3.99312732534105
"23",0
"24",4.43420613742495
"25",9.84341457254704
"26",11.7508072773096
"27",0
"28",2.79841917454308
"29",8.49420849420849
"30",7.24112961622013
"31",5.21774339928233
"32",10.5571949314355
"33",5.19861080963751
"34",3.12849162011173
"35",3.26923886060504
"36",6.27371892944426
"37",7.11405112136246
"38",3.8096936955303
"39",5.76179848674541
"40",4.79632704894012
"41",4.41709575376942
