"","x"
"1",2.0742016280526
"2",1.0339123242349
"3",3.71251405156471
"4",0
"5",2.7280180874059
"6",10.12004411403
"7",3.10675426182956
"8",0.91235460246039
"9",2.9276711803373
"10",1.91186401986056
"11",1.39534251786636
"12",3.19628621982078
"13",0
"14",1.39780884019645
"15",0.980993255671367
"16",0
"17",1.04117647058824
"18",5.16236208625878
"19",0.935125657510228
"20",5.30607826510545
"21",3.30278732340588
"22",3.03844563869368
"23",0
"24",3.87758505670447
"25",5.83406995832807
"26",6.06836260533984
"27",0
"28",5.54312097919091
"29",0.514800514800515
"30",0.772387159063481
"31",4.80306055486519
"32",3.1661169935775
"33",1.4108964619058
"34",3.58535071384233
"35",2.98523162367989
"36",3.95596971924735
"37",8.43995706037659
"38",6.88547984302533
"39",3.58717543955147
"40",0.634951645990036
"41",9.44376457549239
