"","x"
"1",5.68252974326863
"2",0.634132892197408
"3",5.08177104108496
"4",0.148367952522255
"5",3.72928519963229
"6",3.30458516150019
"7",9.00162132273694
"8",1.7749270020583
"9",1.30828974143166
"10",0.893154385397544
"11",1.16165321594522
"12",1.46306196609654
"13",0
"14",2.14918356210385
"15",1.09595340282036
"16",0
"17",4.73058823529412
"18",4.5793630892678
"19",0.789012273524255
"20",6.76024320277121
"21",2.07958326515028
"22",4.74757131045887
"23",0
"24",2.01801200800534
"25",0.0126278570526582
"26",3.14247460029928
"27",0
"28",3.56069423305665
"29",0.3003003003003
"30",1.73787110789283
"31",4.86589128886779
"32",3.9923624370769
"33",0.130236596483612
"34",1.25760397268777
"35",6.73412715109185
"36",4.32653142323511
"37",3.8297501958395
"38",1.34804546149534
"39",3.34494583854989
"40",1.08430204161375
"41",3.16100579556212
