Donor,Name,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34,Cluster 35,Cluster 36,Cluster 37,Cluster 38,Cluster 39,Cluster 40,Cluster 41,Cluster 42,Cluster 43,Cluster 44,Cluster 45,Cluster 46,Cluster 47,Cluster 48,Cluster 49,Cluster 50,Cluster 51,Cluster 52,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 57,Cluster 58,Cluster 59,Cluster 60,Cluster 61,Cluster 62,Cluster 63,Cluster 64,Cluster 65,Cluster 66,Cluster 67,Cluster 68,Cluster 69,Cluster 70,Cluster 71,Cluster 72,Cluster 73,Cluster 74,Cluster 75,Cluster 76,Cluster 77,Cluster 78,Cluster 79,Cluster 80,Cluster 81,Cluster 82,Cluster 83,Cluster 84,Cluster 85,Cluster 86,Cluster 87,Cluster 88,Cluster 89,Cluster 90,Cluster 91,Cluster 92,Cluster 93,Cluster 94,Cluster 95,Cluster 96,Cluster 97,Cluster 98,Cluster 99,Cluster 100,Metacluster 1,Metacluster 2,Metacluster 3,Metacluster 4,Metacluster 5,Metacluster 6,Metacluster 7,Metacluster 8,Metacluster 9,Metacluster 10,Metacluster 11,Metacluster 12,Metacluster 13,Metacluster 14,Metacluster 15,Metacluster 16
CO025,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 011121 HKM_CO025.fcs,0.982442165,2.802947326,0.472966245,0.421520794,2.255302201,0.134421985,1.086992598,0.273822563,0.683726642,1.389027183,2.389724186,0.839722526,1.09031166,1.920077002,0.58249527,0.077997942,0.297055993,0.511135451,1.101928375,0.834743934,1.496896678,1.583192273,0.346841913,0.365096751,0.41156361,0.111188556,0.160974476,0.394968303,4.739619636,1.961565269,2.30342859,0.672109927,0.177569783,0.333565668,0.927677653,0.414882671,0.243951011,0.137741047,1.62468054,4.757874473,1.43051545,0.330246606,0.192505559,0.41322314,0.248929603,2.01135119,0.705300541,0.151017292,0.43645657,2.831159348,0.545985595,0.38833018,0.570878556,0.786617545,0.633940722,0.53436888,0.318629891,0.212419928,0.587473862,2.052839457,0.091274188,0.036509675,0.069700289,0.235653357,0.648876498,1.105247436,0.70198148,0.813170036,0.522752166,0.687045703,0.21739852,0.209100866,0.255567725,0.713598194,0.720236317,2.044541804,0.716917256,0.939294368,0.287098808,0.444754224,2.1092635,0.645557436,0.38667065,0.667131335,1.055461515,0.383351588,1.785655017,0.884529855,0.866275017,0.965846859,1.342560324,1.105247436,0.476285307,0.803212851,0.99405888,1.55166119,2.237047363,1.276179097,1.040525739,1.976501046,15.25440605,2.381426533,14.07945833,1.389027183,5.277307577,1.088652129,7.02811245,7.532609778,0.248929603,3.884961333,23.52550699,0.197484151,4.074147831,5.629128083,0.642238375,0.476285307
CO066,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 021221 HKM_CO066.fcs,1.221462201,0.954961357,0.186550591,0.190992271,1.09265346,0.026650084,0.235409079,0.66625211,0.541885049,0.266500844,1.101536822,0.617393622,0.417517989,0.763969086,0.66625211,0.05774185,0.222084037,0.408634627,0.550768411,0.413076308,1.003819845,0.78617749,0.390867904,0.959403038,0.541885049,0.564093453,0.501909923,0.315359332,0.497468242,0.839477658,1.190370436,0.639602025,0.91054455,0.857244381,0.750644044,0.461934796,0.284267567,0.350892778,0.355334459,0.928311273,1.101536822,0.342009416,0.4841432,0.430843031,0.284267567,2.220840366,0.297592609,0.05774185,0.510793284,0.679577152,1.039353291,0.564093453,0.599626899,0.377542862,0.581860176,0.266500844,0.12436706,0.177667229,4.086346273,0.763969086,0.106600338,0.022208404,0.36421782,0.342009416,0.186550591,0.173225549,0.435284712,0.719552279,0.515234965,0.644043706,0.515234965,0.97272808,0.981611442,0.946077996,0.235409079,0.319801013,0.324242693,0.310917651,0.315359332,0.697343875,0.950519677,1.234787243,0.24429244,0.635160345,0.444168073,0.155458826,0.506351603,0.688460513,0.97272808,1.385804388,1.829972462,0.97272808,0.404192947,1.323620858,0.550768411,0.457493115,0.595185218,0.586301857,1.789997335,7.670782624,8.217109354,1.616771786,3.770986941,0.266500844,7.137780936,1.510171449,5.854135205,6.396020254,0.284267567,3.366793995,13.8313938,0.493026561,10.39797459,6.475970507,1.225903882,0.404192947
CO089,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 04112021 HKM-002_CO089.fcs,2.939985674,2.141663293,0.098622401,0.329087379,4.07777674,0.158833972,1.064083798,1.487641056,2.467636281,7.832694883,1.403552483,1.519823103,1.269633644,2.220561213,1.240565989,0.066440354,0.420442866,0.701776241,0.709043155,2.006706323,2.125053204,1.420162571,0.71942446,0.960270744,0.75783529,0.09758427,0.685166153,0.184787235,0.69866185,0.655060367,3.091552732,1.148172371,0.831542558,1.12637163,1.241604119,0.268875808,0.315591682,0.114194359,0.960270744,0.739148941,2.665919213,0.858533952,0.397603995,0.401756517,0.38929895,0.051906527,0.011419436,0.100698662,0.654022237,1.195926376,2.657614168,1.444039574,1.082770148,0.145338275,0.087202965,0.138071361,0.107965576,0.079936051,1.607026067,0.695547458,0.107965576,0.040487091,0.082012312,0.300019724,0.42667165,0.482730699,0.601077579,0.742263332,0.522179659,0.77652164,0.403832778,0.352964382,0.184787235,0.637412148,0.316629813,0.958194483,0.112118098,0.344659337,0.167139016,0.250189459,1.055778754,1.39836183,0.115232489,0.301057855,0.781712293,0.109003706,0.760949682,0.153643319,0.692433067,1.348531564,2.09702368,0.457815566,0.177520321,0.530484703,0.268875808,0.433938563,0.465082479,0.428747911,1.381751741,5.100335316,19.36632512,3.899218288,7.276256917,7.832694883,8.223031964,1.400438091,13.09394043,5.112792883,0.38929895,0.288600289,12.10667829,0.230464979,7.475577979,5.765776989,0.300019724,0.177520321
CO077,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 08112021 HKM-001_CO077.fcs,2.243287968,3.515792177,0.310279894,0.609860481,4.324659762,0.378755457,2.758281263,1.449399412,1.113441182,0.77819624,1.189762903,1.275357357,1.199748923,1.386630146,1.388770008,0.131244829,0.782475962,0.626979372,0.862364119,0.47433593,1.266797911,0.895175326,0.196867243,0.70900739,0.995748809,0.162629462,0.145510571,0.092014037,1.079203401,1.0570915,1.25966504,0.347370824,0.196867243,0.370909298,0.718993409,0.292447716,0.14337071,0.16548261,2.59351194,2.617050415,1.326000742,0.141230848,0.129104967,0.24465748,0.319552626,1.827441582,1.39304973,0.329538646,1.473651174,5.049359468,0.613426917,0.455077178,0.607007333,0.562783532,0.940825701,1.358098662,1.395902879,0.80530115,0.475049217,3.138463294,0.137664413,0.029244772,0.124111958,0.286028132,0.898741762,0.890895603,0.851664812,0.888042455,0.451510742,0.414419812,0.665496876,0.517846444,0.220405718,0.668350024,0.450084168,2.073525636,0.185454649,0.490741533,0.141944135,0.171902194,1.93657451,1.1733573,0.318126052,0.379468744,1.348825929,0.213272847,1.49932951,0.296727439,0.755371052,0.554937373,1.993637479,0.968643899,0.376615595,0.388028189,0.558503809,1.146965677,1.240406288,1.007161403,0.940825701,0.668350024,18.71094753,6.127136295,7.203486547,0.77819624,4.912408343,0.875916574,5.312562413,12.73003509,0.319552626,5.519415675,20.25307427,0.291021142,1.809609404,7.255556507,0.53853177,0.376615595
CO046,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 131221 HKM_CO046.fcs,0.767646508,0.733944954,0.511140236,1.522186856,2.857142857,0.03931848,1.085938963,2.482681146,0.546714098,0.18161393,0.767646508,0.501778693,1.597079199,1.21887287,1.187043625,0.02621232,1.359296012,0.417524808,0.496161767,0.499906385,0.322037072,0.344504774,0.293952443,0.355738626,0.288335518,0.110466205,0.230293952,0.164763153,1.142108219,0.406290957,0.351994009,0.254633964,0.368844786,0.398801723,0.823815765,0.239655495,0.254633964,0.104849279,1.24508519,2.701741247,0.606627972,0.217187793,0.20782625,0.381950946,0.896835799,1.256319041,0.527991013,0.089870811,0.954877364,4.177120389,0.85564501,0.222804718,0.312675529,0.316420146,0.185358547,0.104849279,0.121700056,0.134806216,2.589402734,2.038944018,0.043063097,0.016850777,0.084253885,0.121700056,0.273357049,0.481183299,0.411907882,0.430630968,1.312488298,3.724021719,0.082381576,0.159146227,0.329526306,0.432503277,0.398801723,0.827560382,0.887474256,0.520501779,1.280659053,3.533046246,0.50552331,0.537352556,0.280846283,0.496161767,0.514884853,0.368844786,1.151469762,1.276914435,1.591462273,6.581164576,2.044560944,1.19266055,0.365100169,1.278786744,0.762029582,1.183299008,1.430443737,0.634712601,2.156899457,11.65324846,11.98651938,5.410971728,5.792922674,0.18161393,3.813892529,0.844411159,3.137989141,11.00542969,0.896835799,2.074517881,20.4811833,0.144167759,25.491481,4.521625164,0.610372589,0.365100169
CO008,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 151221 HKM_CO008.fcs,3.000676692,2.028057489,0.324206401,1.095837836,6.214461019,0.068679238,1.5765925,2.063407096,1.910898789,1.452363879,1.086747937,1.19279676,1.383684641,1.757380493,2.341154013,0.056559372,0.912019877,1.136237388,3.684439103,2.16036602,0.961509327,0.481764652,0.323196413,0.754461625,1.122097545,0.260577108,0.660532668,0.224217511,1.573562533,1.663451536,1.922008666,0.6756825,0.778701356,1.171586995,1.473573643,0.320166446,0.322186424,0.040399552,1.501853329,2.858268273,1.297835594,0.354506065,0.619123128,0.814050964,0.631242993,1.413984305,0.479744675,0.046459484,0.890810112,3.279433598,1.550332791,0.513074305,0.535294058,0.743351749,0.300976659,0.194927836,0.167658139,0.15048833,1.39277454,0.758501581,0.051509428,0.030299664,0.128268576,0.156548262,0.240377332,0.334306289,0.504994395,0.494894507,0.468634798,1.317025381,0.220177556,0.515094282,0.445405056,0.428235247,0.238357354,0.699922231,0.127258587,0.339356233,0.249467231,0.531254103,2.013917646,0.311076547,0.195937825,0.460554888,0.641342881,0.187857915,0.890810112,0.328246356,1.007968812,2.267424832,1.339245134,0.334306289,0.293906738,0.714062074,0.510044339,0.543373969,0.626193049,0.60094333,1.05947824,4.457080526,21.38651261,5.81349547,13.85098625,1.452363879,8.119299876,1.293795639,7.592085728,7.823373161,0.631242993,2.389633475,12.1713749,0.210077668,8.572784842,4.733817455,0.641342881,0.293906738
CO004,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 171121 HKM_CO004.fcs,0.391986063,0.156794425,0.043554007,0.069686411,1.088850174,0.034843206,0.322299652,0.531358885,0.757839721,0.566202091,0.74912892,0.139372822,0.278745645,0.322299652,0.200348432,0.052264808,0.087108014,0.156794425,0.487804878,0.583623693,0.470383275,0.339721254,0.095818815,0.156794425,0.148083624,0.026132404,0.043554007,0.087108014,0.139372822,0.444250871,1.75087108,0.618466899,0.182926829,0.609756098,0.775261324,0.043554007,0.06097561,0,0.139372822,0.426829268,1.986062718,0.182926829,0.339721254,0.444250871,0.270034843,0.104529617,0.008710801,0.008710801,0.06097561,0.148083624,1.254355401,0.113240418,0.139372822,0.104529617,0.043554007,0.487804878,0.12195122,0.078397213,0.200348432,0.034843206,0.714285714,0.104529617,0.139372822,0.31358885,1.385017422,2.900696864,1.846689895,1.681184669,0.365853659,0.034843206,5.975609756,2.630662021,0.348432056,1.263066202,0.609756098,3.397212544,0.165505226,0.871080139,0.139372822,0.043554007,14.14634146,3.101045296,0.409407666,0.714285714,2.003484321,0.505226481,2.857142857,0.470383275,1.071428571,0.130662021,3.292682927,1.620209059,2.134146341,0.487804878,0.775261324,1.411149826,2.238675958,1.777003484,0.940766551,0.043554007,3.911149826,1.18466899,2.839721254,0.566202091,3.162020906,0.200348432,6.149825784,0.583623693,0.270034843,0.644599303,30.39198606,0.958188153,0.25261324,30.76655052,0.757839721,2.134146341
CO011,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 191021 HKM_CO011.fcs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093632959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093632959,0,0
CO010,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 201221 HKM_CO010.fcs,4.048435614,2.166957255,0.28356293,0.51731075,1.191730692,0.091966356,0.592033414,0.618856935,1.239629835,4.887628609,0.977142529,1.770352346,0.501983025,0.339125936,0.95415094,0.055563007,0.423428429,0.582453586,0.561377963,0.708907325,0.843024927,0.521142682,0.494319162,0.266319238,0.781714023,0.051731075,0.300806622,0.318050313,1.117008028,0.783629989,0.739562777,0.367865423,0.482823367,0.547966202,0.743394708,0.205008334,0.321882245,0.241411684,1.011629912,2.149713563,1.155327343,0.605445175,0.415764566,0.208840266,0.185848677,0.061310904,0.030655452,0.272067135,0.793209817,2.325982411,1.505949074,0.239495718,0.563293928,0.082386527,0.137949533,0.29697469,0.383193149,0.417680532,1.801007798,1.312436534,0.047899144,0.015327726,0.241411684,0.444504052,0.655260284,0.749142605,0.814285441,1.067192919,1.281781082,2.774318395,0.168604985,0.402352806,0.739562777,1.383327266,1.120839959,0.986722357,1.228134041,0.720403119,1.241545801,2.887360374,0.856436687,1.318184431,0.436840189,1.241545801,0.969478666,0.50389899,1.231965972,1.48487345,1.659226333,3.826183588,2.824133504,1.118923994,0.273983101,1.733948997,1.655394402,1.329680225,1.283697047,1.475293622,1.92171364,3.914318012,13.59377694,2.364301726,6.560266702,4.887628609,4.719023624,1.454217999,5.259325963,7.244266473,0.185848677,0.526890579,28.98472975,0.304638553,13.40218037,6.688636407,1.176402966,0.273983101
CO059,FlowSOM_c01_COVID-19 STUDY CyTOF FIXED 221121 HKM_CO059.fcs,0.07223236,0.376368613,0.182481752,0.136861314,1.246958637,0.201490268,1.86283455,0.790754258,0.870590024,1.383819951,1.965480535,0.076034063,0.402980535,1.296380779,0.193886861,0.038017032,0.612074209,0.406782238,0.642487835,0.570255474,0.619677616,1.714568127,0.254714112,0.334549878,0.08363747,0.068430657,0.182481752,0.21669708,3.41392944,1.604318735,1.889446472,0.471411192,0.163473236,0.125456204,1.303984185,0.703315085,0.714720195,0.095042579,4.968826034,2.919708029,2.672597324,0.159671533,0.171076642,0.581660584,0.813564477,3.946167883,1.075881995,0.178680049,0.718521898,7.675638686,0.718521898,0.292731144,0.414385645,1.11770073,1.018856448,0.764142336,0.562652068,0.368765207,0.326946472,3.029957421,0.114051095,0.007603406,0.064628954,0.159671533,0.383972019,0.67290146,0.90100365,0.851581509,0.486618005,0.410583942,0.37256691,0.190085158,0.28892944,0.463807786,0.296532847,1.231751825,0.353558394,0.881995134,0.285127737,0.494221411,1.775395377,1.714568127,0.593065693,0.676703163,0.669099757,0.368765207,1.817214112,1.064476886,1.63473236,0.657694647,2.512925791,2.53573601,0.779349148,0.859184915,0.851581509,0.729927007,1.558698297,1.452250608,1.155717762,0.669099757,6.569343066,3.911952555,10.02128954,1.383819951,5.50486618,1.387621655,7.736465937,16.71989051,0.813564477,6.805048662,20.73829075,0.186283455,2.231599757,9.101277372,0.881995134,0.779349148
