,description,type,sample,totalcount,entropy,tcrcovidmatch,tcrcovidfreq
Covid_HH_HA021_CD4,Covid_HH_HA021,CD4,1,38016,0.9224346718593929,0.0006313131313131314,0.0006729843116412319
Covid_HH_HA021_CD8,Covid_HH_HA021,CD8,2,25019,0.799896488208598,0.0013189975618529918,0.0006521815759360763
Covid_PT002_CD4,Covid_PT002,CD4,3,27352,0.9612442443563699,0.0009140099444281954,0.000832978004604793
Covid_PT002_CD8,Covid_PT002,CD8,4,6790,0.8416362179769176,0.0014727540500736377,0.001275122575221346
Covid_HH001_CD4,Covid_HH001,CD4,5,13687,0.9363216780821588,0.0012420545042741288,0.0010801430476286553
Covid_HH001_CD8,Covid_HH001,CD8,6,9498,0.8119895563878649,0.0005264266161297116,5.762684562801279e-05
Covid_HH031_CD4,Covid_HH031,CD4,7,18939,0.9331199974441263,0.0010032208669940334,0.0008390083142654508
Covid_HH031_CD8,Covid_HH031,CD8,8,10098,0.6994703547729707,0.00089126559714795,0.0005316579560650412
Covid_HH032_CD4,Covid_HH032,CD4,9,34620,0.948881648424809,0.0006643558636626228,0.0008649090318887537
Covid_HH032_CD8,Covid_HH032,CD8,10,125,0.7547616927185483,0.0,0.0
Covid_HH039_CD4,Covid_HH039,CD4,11,44347,0.9511340232637733,0.000744131508332018,0.0008712394344087675
Covid_HH039_CD8,Covid_HH039,CD8,12,7658,0.8479849349556333,0.0010446591799425438,9.152002373879623e-05
Covid_HH044_CD4,Covid_HH044,CD4,13,23774,0.9419674301999785,0.0007150668797846387,0.0006942692912664199
Covid_HH044_CD8,Covid_HH044,CD8,14,20501,0.9316164226954077,0.0005365591922345251,0.000334048710050253
Covid_HH053_CD4,Covid_HH053,CD4,15,31747,0.9593927805567893,0.0007874759819825496,0.0012295415841286998
Covid_HH053_CD8,Covid_HH053,CD8,16,26532,0.8468854065984173,0.0010176390773405698,0.0006888201036799504
Covid_HH078_1_CD4,Covid_HH078_1,CD4,17,22996,0.9594370003982106,0.0010871455905374849,0.0007391956789740738
