microbe,eigentaxa
Bacteroides 1,50
Faecalibacterium 1,14
Faecalibacterium 2,38
Blautia 1,59
Bacteroides 2,52
Agathobacter 1,15
Blautia 2,34
Bifidobacterium 1,63
Faecalibacterium 3,7
Fusicatenibacter 1,0
Bacteroides 3,42
Subdoligranulum 1,25
Romboutsia 1,44
Bacteroides 4,13
Alistipes 1,64
Bacteroides 6,18
Bacteroides 5,26
Blautia 3,14
Parasutterella 1,33
Ruminococcus_g2 1,60
Agathobacter 2,0
Subdoligranulum 2,5
Bifidobacterium 2,11
Dorea 1,32
Blautia 4,32
Oscillibacter 1,43
Anaerostipes 1,15
Sporobacter 1,8
Roseburia 1,46
Clostridium 1,44
Roseburia 2,1
Lachnospira 1,19
Bacteroides 12,80
JPZU_g 1,24
Bacteroides 11,18
Ruminococcus 1,42
Clostridium_g24 1,2
Coprococcus_g2 1,13
KE159538_g 1,21
Oscillibacter 2,28
Sporobacter 2,4
Oscillibacter 3,16
Eubacterium_g5 1,52
Clostridium 2,48
Faecalibacterium 4,34
Streptococcus 1,31
Coprococcus 1,6
Ruminococcus_g2 2,5
Sutterella 2,2
Clostridium_g24 2,2
Oscillibacter 4,20
Intestinibacter 1,44
Bilophila 1,6
Collinsella 1,2
Paraprevotella 1,55
Bacteroides 14,25
LARJ_g 1,36
Ruminococcus_g4 2,1
Dorea 2,0
DQ057459_g 1,47
Alistipes 3,1
Odoribacter 1,2
Eubacterium_g8 1,57
Bacteroides 16,26
AB239481_g 2,29
Eubacterium_g7 1,39
Ruminococcus_g4 4,5
Lachnospira 2,13
LARJ_g 2,36
Ruminococcus 2,26
KE159538_g 2,37
Alistipes 5,3
AB185816_g 1,24
Oscillibacter 5,3
Eubacterium_g5 2,53
Butyricicoccus 1,34
Coprococcus_g1 1,1
Subdoligranulum 3,10
AJ576336_g 1,54
Bacteroides 21,38
LLKB_g 1,24
Alistipes 7,18
Roseburia 3,28
Ruminococcus 3,32
Eubacterium_g17 1,10
Coprococcus 2,10
HQ716403_g 1,1
Sporobacter 3,7
Lachnospira 4,52
Eubacterium_g20 1,63
CCMM_g 1,36
GQ896819_g 1,4
Caproiciproducens 1,4
EU842423_g 1,27
Murimonas 1,24
Sporobacter 5,31
Oscillibacter 8,55
Barnesiella 2,14
Coprococcus 3,19
Coprobacter 1,2
Lachnospira 5,24
Eubacterium_g21 1,34
Bifidobacterium 4,2
Eubacterium_g23 3,4
HM123979_g 1,10
Bacteroides 25,63
AY305316_g 2,24
Pasteurellaceae 1,10
LLKB_g 2,24
Butyricicoccus 3,62
Senegalemassilia 1,2
Megasphaera 1,35
EU457907_g 1,59
Pseudoflavonifractor 2,27
HM123979_g 2,28
KE159538_g 3,38
Bacteroides 34,18
Alistipes 10,8
Eubacterium_g17 2,34
Veillonella 1,74
Alistipes 12,15
Sutterella 4,66
DQ905324_g 1,47
AB009176_g 2,25
Lachnospiraceae 3,21
Oxalobacter 1,14
AM277970_g 1,47
Oscillibacter 14,63
Murimonas 3,5
DQ777914_g 1,65
EF406589_g 1,21
Streptococcus 3,31
EF404788_g 1,57
Bacteroidetes 1,9
Pseudoflavonifractor 6,2
GQ159254_g 1,38
Pseudoflavonifractor 7,16
Sporobacter 14,1
Eubacterium_g4 2,21
Lachnospiraceae 5,24
DQ904798_g 1,1
Sporobacter 17,62
HM124260_g 3,8
Sporobacter 19,3
AM500802_g 1,15
Hydrogenoanaerobacterium 1,46
Slackia 1,0
Lachnospiraceae 7,49
Sporobacter 20,16
HQ452860_g 1,4
Ruminococcus 10,63
EF401862_g 1,17
Lachnospiraceae 17,36
Faecalitalea 1,11
Eubacterium 1,3
Butyrivibrio_g1 5,63
EU622770_g 2,21
FJ879347_g 1,13
Clostridium_g7 5,36
Actinomyces 2,75
Pseudoflavonifractor 26,22
GQ175418_g 3,30
GU174103_g 2,15
Coprobacillus 4,2
AY858456_g 4,41
Prevotella 1,83
Akkermansia 1,58
Escherichia 1,66
Bacteroides 7,40
Parabacteroides 1,13
Phascolarctobacterium 2,28
Bacteroides 8,1
Turicibacter 1,14
Bacteroides 10,16
Phascolarctobacterium 3,61
Alistipes 2,14
Ruminococcus_g4 1,34
Eubacterium_g23 1,20
Bacteroides 18,13
Enterobacter 1,52
Blautia 6,24
Eisenbergiella 2,55
Lachnospira 3,30
Clostridium 3,23
Alistipes 6,14
AY305316_g 1,27
Oscillibacter 7,5
Blautia 7,10
Eubacterium_g4 1,11
Eubacterium_g23 2,16
Clostridium_g24 3,52
Oscillibacter 9,21
Pseudoflavonifractor 1,2
Holdemanella 1,21
Sporobacter 6,14
Pseudoflavonifractor 3,5
Bacteroides 32,2
Anaerofilum 1,1
DQ057459_g 2,45
Murimonas 2,59
Coprobacter 2,4
Eubacterium_g5 3,15
Barnesiella 5,3
Alistipes 11,42
Enterococcus 1,10
Pseudoflavonifractor 4,3
Pseudoflavonifractor 5,18
Caproiciproducens 3,14
DQ815907_g 2,31
Caproiciproducens 4,40
AB239481_g 6,4
AY305316_g 3,37
Butyricimonas 3,40
Alistipes 15,40
Lactobacillus 1,5
Dorea 3,13
Parabacteroides 3,20
HM124260_g 1,64
AB009176_g 8,31
Lactococcus 1,44
Oscillibacter 18,37
AB239481_g 8,6
AY442821_g 1,22
Faecalibacterium 18,45
Coprococcus_g1 2,41
Oscillibacter 21,49
EU381776_g 1,15
HM123979_g 4,1
FJ951890_g 1,25
AB239481_g 10,31
Clostridium 5,72
Pseudoflavonifractor 15,14
Eubacterium_g5 4,49
Streptococcus 4,5
HQ716403_g 8,6
Pseudoflavonifractor 16,16
Barnesiella 8,15
Blautia 18,34
Ruminococcus 12,31
GU302849_g 3,17
Clostridium_g7 3,20
AB606260_g 1,6
GU302849_g 4,17
Pseudoflavonifractor 19,12
Streptococcus 5,13
Eggerthella 1,13
Sporobacter 27,23
AB009176_g 25,19
Oscillibacter 27,10
Clostridium_g6 2,75
JN162687_g 2,41
Rahnella,71
EF406589_g 3,10
Lachnospiraceae 24,12
Syntrophococcus 4,31
Streptococcus 7,5
Christensenella 2,2
Gemella 2,31
AB239481_g 23,4
Mogibacterium 2,31
Pseudoflavonifractor 39,31
Coprococcus_g1 4,44
Staphylococcus 1,5
EF401862_g 2,22
Leuconostoc 1,27
Leuconostoc 2,31
Gordonibacter 1,25
Alloscardovia 1,31
Lactonifactor 1,5
Pseudoflavonifractor 52,29
Lactococcus 2,31
AB009176_g 60,1
Rothia 3,35
Peptococcus,1
Caproiciproducens 33,35
Megasphaera 6,75
AB239481_g 1,64
Eisenbergiella 1,40
Faecalibacterium 5,50
Acidaminococcus 2,5
Ruminococcus_g4 3,1
Bacteroides 17,10
Clostridium_g21 1,13
Barnesiella 3,19
LARJ_g 4,55
Oscillibacter 11,40
LARJ_g 5,40
Oscillibacter 12,8
Clostridium_g24 5,18
JN713389_g 3,19
Megamonas 2,22
Parasutterella 4,40
AM277063_g 1,34
Alistipes 14,11
Sporobacter 13,14
Pseudoflavonifractor 11,2
Alistipes 16,9
Odoribacter 3,46
Pseudoflavonifractor 12,4
Butyricimonas 4,17
HM124260_g 4,3
AB239481_g 13,40
HM124151_g 2,3
Clostridium 9,30
Ruminococcus 13,7
EF402988_g 1,18
Blautia 28,35
EF406589_g 2,2
EF400272_g 3,66
EF602946_g 3,7
Coprobacillus 1,40
Lachnospiraceae 27,50
AY305316_g 6,18
Eisenbergiella 4,4
Fenollaria,1
Butyricimonas 13,1
Syntrophococcus 6,3
Holdemania 1,46
Alistipes 35,40
Ruminococcus_g4 23,2
AY305316_g 16,6
Christensenella 6,9
Peptoniphilus 3,1
EU844456_g 5,18
Prevotella 3,37
Phascolarctobacterium 1,27
Bacteroides 9,13
Sutterella 1,8
Bacteroides 13,3
LARJ_g 3,68
Bacteroides 23,46
Parasutterella 2,42
Bacteroides 24,54
FR888536_g 1,21
Sporobacter 4,3
Eubacterium_g8 2,11
Clostridium_g7 1,27
AB009176_g 1,3
Ruminococcus 5,24
Ruminococcus_g4 5,47
Clostridium_g24 4,18
FR888536_g 3,1
Butyricimonas 1,8
Butyricimonas 2,56
LLKB_g 4,14
Blautia 12,8
AB239481_g 4,1
JN713389_g 8,22
Victivallis 2,19
EU464362_g 2,43
Bacteroides 61,20
GU302849_g 1,1
EU842423_g 2,23
Parasutterella 8,67
AB009176_g 16,8
Oscillibacter 24,35
Lactobacillus 4,12
Clostridium_g24 6,28
Pseudoflavonifractor 20,4
Caproiciproducens 7,30
