"Module","Gene","Module_gene","Function","position"
"M3.1","ALPP","M3.1_ALPP","Cell cycle","A29.1"
"M3.1","ALS2CR14","M3.1_ALS2CR14","Cell cycle","A29.1"
"M3.1","ANKRD30B","M3.1_ANKRD30B","Cell cycle","A29.1"
"M3.1","ARL16","M3.1_ARL16","Cell cycle","A29.1"
"M3.1","BCYRN1","M3.1_BCYRN1","Cell cycle","A29.1"
"M3.1","BLZF1","M3.1_BLZF1","Cell cycle","A29.1"
"M3.1","C11ORF63","M3.1_C11ORF63","Cell cycle","A29.1"
"M3.1","C1ORF176","M3.1_C1ORF176","Cell cycle","A29.1"
"M3.1","C5ORF28","M3.1_C5ORF28","Cell cycle","A29.1"
"M3.1","C6ORF170","M3.1_C6ORF170","Cell cycle","A29.1"
"M3.1","C8ORF45","M3.1_C8ORF45","Cell cycle","A29.1"
"M3.1","C9ORF130","M3.1_C9ORF130","Cell cycle","A29.1"
"M3.1","CCBE1","M3.1_CCBE1","Cell cycle","A29.1"
"M3.1","CEP27","M3.1_CEP27","Cell cycle","A29.1"
"M3.1","CSF2RA","M3.1_CSF2RA","Cell cycle","A29.1"
"M3.1","CYCSL1","M3.1_CYCSL1","Cell cycle","A29.1"
"M3.1","DCLRE1C","M3.1_DCLRE1C","Cell cycle","A29.1"
"M3.1","DDX51","M3.1_DDX51","Cell cycle","A29.1"
"M3.1","DENR","M3.1_DENR","Cell cycle","A29.1"
"M3.1","DMC1","M3.1_DMC1","Cell cycle","A29.1"
"M3.1","DTWD2","M3.1_DTWD2","Cell cycle","A29.1"
"M3.1","DUXAP3","M3.1_DUXAP3","Cell cycle","A29.1"
"M3.1","EIF2AK4","M3.1_EIF2AK4","Cell cycle","A29.1"
"M3.1","EVI5","M3.1_EVI5","Cell cycle","A29.1"
"M3.1","FAM40B","M3.1_FAM40B","Cell cycle","A29.1"
"M3.1","FAM73A","M3.1_FAM73A","Cell cycle","A29.1"
"M3.1","FLJ38717","M3.1_FLJ38717","Cell cycle","A29.1"
"M3.1","FLJ40722","M3.1_FLJ40722","Cell cycle","A29.1"
"M3.1","FLJ44124","M3.1_FLJ44124","Cell cycle","A29.1"
"M3.1","GALNT3","M3.1_GALNT3","Cell cycle","A29.1"
"M3.1","GPR1","M3.1_GPR1","Cell cycle","A29.1"
"M3.1","GSTTP2","M3.1_GSTTP2","Cell cycle","A29.1"
"M3.1","HNRNPU","M3.1_HNRNPU","Cell cycle","A29.1"
"M3.1","HS.163752","M3.1_HS.163752","Cell cycle","A29.1"
"M3.1","HS.542993","M3.1_HS.542993","Cell cycle","A29.1"
"M3.1","HS.562875","M3.1_HS.562875","Cell cycle","A29.1"
"M3.1","HS.571741","M3.1_HS.571741","Cell cycle","A29.1"
"M3.1","HS.576072","M3.1_HS.576072","Cell cycle","A29.1"
"M3.1","HSPC268","M3.1_HSPC268","Cell cycle","A29.1"
"M3.1","HYPK","M3.1_HYPK","Cell cycle","A29.1"
"M3.1","ICA1","M3.1_ICA1","Cell cycle","A29.1"
"M3.1","IL10","M3.1_IL10","Cell cycle","A29.1"
"M3.1","IL17RD","M3.1_IL17RD","Cell cycle","A29.1"
"M3.1","KIAA1751","M3.1_KIAA1751","Cell cycle","A29.1"
"M3.1","LEP","M3.1_LEP","Cell cycle","A29.1"
"M3.1","LMOD3","M3.1_LMOD3","Cell cycle","A29.1"
"M3.1","LOC123688","M3.1_LOC123688","Cell cycle","A29.1"
"M3.1","LOC440157","M3.1_LOC440157","Cell cycle","A29.1"
"M3.1","LOC643882","M3.1_LOC643882","Cell cycle","A29.1"
"M3.1","LOC644250","M3.1_LOC644250","Cell cycle","A29.1"
"M3.1","LOC644852","M3.1_LOC644852","Cell cycle","A29.1"
"M3.1","LOC648852","M3.1_LOC648852","Cell cycle","A29.1"
"M3.1","LOC653829","M3.1_LOC653829","Cell cycle","A29.1"
"M3.1","LSDP5","M3.1_LSDP5","Cell cycle","A29.1"
"M3.1","MAGT1","M3.1_MAGT1","Cell cycle","A29.1"
"M3.1","MBTD1","M3.1_MBTD1","Cell cycle","A29.1"
"M3.1","MCART1","M3.1_MCART1","Cell cycle","A29.1"
"M3.1","MCM8","M3.1_MCM8","Cell cycle","A29.1"
"M3.1","MYO3B","M3.1_MYO3B","Cell cycle","A29.1"
"M3.1","N4BP2","M3.1_N4BP2","Cell cycle","A29.1"
"M3.1","NLRP8","M3.1_NLRP8","Cell cycle","A29.1"
"M3.1","NUBPL","M3.1_NUBPL","Cell cycle","A29.1"
"M3.1","OCIAD1","M3.1_OCIAD1","Cell cycle","A29.1"
"M3.1","PCDHB19P","M3.1_PCDHB19P","Cell cycle","A29.1"
"M3.1","PCDHB9","M3.1_PCDHB9","Cell cycle","A29.1"
"M3.1","PIP5K2B","M3.1_PIP5K2B","Cell cycle","A29.1"
"M3.1","PLA2G2D","M3.1_PLA2G2D","Cell cycle","A29.1"
"M3.1","PLDN","M3.1_PLDN","Cell cycle","A29.1"
"M3.1","POLR2J4","M3.1_POLR2J4","Cell cycle","A29.1"
"M3.1","PPA2","M3.1_PPA2","Cell cycle","A29.1"
"M3.1","PPM1K","M3.1_PPM1K","Cell cycle","A29.1"
"M3.1","PRO1853","M3.1_PRO1853","Cell cycle","A29.1"
"M3.1","PTP4A2","M3.1_PTP4A2","Cell cycle","A29.1"
"M3.1","PTPLAD2","M3.1_PTPLAD2","Cell cycle","A29.1"
"M3.1","RAXL1","M3.1_RAXL1","Cell cycle","A29.1"
"M3.1","RHBDL2","M3.1_RHBDL2","Cell cycle","A29.1"
"M3.1","RNUXA","M3.1_RNUXA","Cell cycle","A29.1"
"M3.1","SLC25A20","M3.1_SLC25A20","Cell cycle","A29.1"
"M3.1","SLC35E1","M3.1_SLC35E1","Cell cycle","A29.1"
"M3.1","SLC4A5","M3.1_SLC4A5","Cell cycle","A29.1"
"M3.1","SLC5A8","M3.1_SLC5A8","Cell cycle","A29.1"
"M3.1","SNAPC1","M3.1_SNAPC1","Cell cycle","A29.1"
"M3.1","SPTLC1","M3.1_SPTLC1","Cell cycle","A29.1"
"M3.1","SSTR2","M3.1_SSTR2","Cell cycle","A29.1"
"M3.1","SYAP1","M3.1_SYAP1","Cell cycle","A29.1"
"M3.1","TDP1","M3.1_TDP1","Cell cycle","A29.1"
"M3.1","TDRD1","M3.1_TDRD1","Cell cycle","A29.1"
"M3.1","TNFSF15","M3.1_TNFSF15","Cell cycle","A29.1"
"M3.1","TRIM13","M3.1_TRIM13","Cell cycle","A29.1"
"M3.1","USP49","M3.1_USP49","Cell cycle","A29.1"
"M3.1","VPS41","M3.1_VPS41","Cell cycle","A29.1"
"M3.1","WDR74","M3.1_WDR74","Cell cycle","A29.1"
"M3.1","XRCC2","M3.1_XRCC2","Cell cycle","A29.1"
"M3.1","YRDC","M3.1_YRDC","Cell cycle","A29.1"
