	Cytof+Micro+RNA	Micro+RNA	value
0	Trimodal - C 1	M&R CMV seropositive	1
1	Trimodal - C 1	M&R Higher BMI (Prevotella)	4
2	Trimodal - C 1	M&R Ruminococcaceae & Christensenellaceae - driven	2
3	Trimodal - C 1	M&R Upregulated metabolic sets	9
4	Trimodal - C 2	M&R CMV seropositive	11
5	Trimodal - C 2	M&R Higher BMI (Prevotella)	1
6	Trimodal - C 2	M&R Ruminococcaceae & Christensenellaceae - driven	5
7	Trimodal - C 2	M&R Upregulated metabolic sets	2
8	Trimodal - C 3	M&R CMV seropositive	2
9	Trimodal - C 3	M&R Higher BMI (Prevotella)	20
10	Trimodal - C 3	M&R Ruminococcaceae & Christensenellaceae - driven	8
11	Trimodal - C 3	M&R Upregulated metabolic sets	1
12	Trimodal - C 4	M&R CMV seropositive	6
13	Trimodal - C 4	M&R Higher BMI (Prevotella)	7
14	Trimodal - C 4	M&R Ruminococcaceae & Christensenellaceae - driven	14
15	Trimodal - C 4	M&R Upregulated metabolic sets	4
