taxa,variable,number_of_positive_tests ,effectsize,family
AB009176_g 25,C&R 5,2,-0.40867999942308875,Ruminococcaceae
AB009176_g 25,C&R 2,2,0.5151067179824577,Ruminococcaceae
Faecalibacterium 6,C&R 2,2,-1.0863828968875828,Ruminococcaceae
Caproiciproducens 9,C&R 5,2,-0.9136683849655952,Ruminococcaceae
Eubacterium_g8 1,C&R 1,2,-0.7320079175455801,Ruminococcaceae
EU381776_g 2,C&R 5,2,0.5044752719877014,Mogibacterium_f
Eubacterium_g7 1,C&R 4,2,-2.621343241691455,Lachnospiraceae
Prevotella 2,C&R 4,2,-2.879676700658516,Prevotellaceae
Alistipes 4,C&R 4,2,-1.413571454278716,Rikenellaceae
Butyricicoccus 5,C&R 2,2,0.49293429977127085,Ruminococcaceae
LARJ_g 2,C&R 1,2,-1.2763720581685898,Rhodospirillaceae
Ruminococcus 2,C&R 3,2,-1.0243647215871545,Ruminococcaceae
Clostridium 3,C&R 5,2,0.9988901093390241,Clostridiaceae
Oscillibacter 7,C&R 5,2,-0.6833123689391063,Ruminococcaceae
Bacteroides 21,C&R 4,2,-1.5876633737343684,Bacteroidaceae
Parasutterella 2,C&R 4,2,-0.9427768185615215,Sutterellaceae
Oscillibacter 6,C&R 2,2,-1.1619333645837142,Ruminococcaceae
Ruminococcus 3,C&R 2,2,-1.8206364059404245,Ruminococcaceae
FR888536_g 1,C&R 4,2,-1.6875455094391572,FR888536_f
FR888536_g 1,C&R 2,2,1.0139908024601576,FR888536_f
Coprococcus 2,C&R 5,2,0.8168832099980119,Lachnospiraceae
Coprococcus 2,C&R 1,2,-1.540923958826073,Lachnospiraceae
Coprococcus 2,C&R 2,2,-1.1569091453348723,Lachnospiraceae
HQ716403_g 1,C&R 2,2,-0.7329889144793331,Christensenellaceae
Lachnospira 4,C&R 1,2,-1.0374545576200063,Lachnospiraceae
Escherichia 1,C&R 3,3,-2.394656539715383,Enterobacteriaceae
