taxa,variable,number_of_positive_tests ,effectsize,family
AB009176_g 25,Trimodal - C 2,2,0.5932013659636484,Ruminococcaceae
Caproiciproducens 9,Trimodal - C 2,2,0.5856818843633211,Ruminococcaceae
Eubacterium_g8 1,Trimodal - C 2,2,0.6802370080643897,Ruminococcaceae
Oscillibacter 27,Trimodal - C 3,2,-0.43984574932727977,Ruminococcaceae
Clostridium_g6 2,Trimodal - C 3,2,-0.4636394407671699,Erysipelotrichaceae
Prevotella 2,Trimodal - C 2,2,-3.741209156348077,Prevotellaceae
Alistipes 4,Trimodal - C 3,2,-0.9297553596048408,Rikenellaceae
LARJ_g 2,Trimodal - C 1,2,-1.8034618232372146,Rhodospirillaceae
Clostridium 3,Trimodal - C 3,2,-2.2428537585090265,Clostridiaceae
Clostridium_g21 1,Trimodal - C 3,2,-1.2859237633515215,Lachnospiraceae
Oscillibacter 7,Trimodal - C 3,2,-0.7949474050687408,Ruminococcaceae
Parasutterella 2,Trimodal - C 4,2,-1.6654735920502304,Sutterellaceae
FR888536_g 1,Trimodal - C 1,2,-1.5276534913420705,FR888536_f
FR888536_g 1,Trimodal - C 4,2,-1.3594075264983105,FR888536_f
Lachnospira 4,Trimodal - C 3,2,-0.6158481637767396,Lachnospiraceae
Escherichia 1,Trimodal - C 4,2,-0.88914892196479,Enterobacteriaceae
Eubacterium_g20 1,Trimodal - C 4,2,-1.2260803284248947,Lachnospiraceae
Barnesiella 1,Trimodal - C 1,2,-1.1527871395728686,Porphyromonadaceae
Blautia 8,Trimodal - C 1,2,-1.1783400922788436,Lachnospiraceae
Blautia 8,Trimodal - C 3,2,0.9265239573280528,Lachnospiraceae
Blautia 8,Trimodal - C 2,2,-2.0769670437095047,Lachnospiraceae
Terrisporobacter 1,Trimodal - C 2,2,-0.7895525380045232,Peptostreptococcaceae
LARJ_g 4,Trimodal - C 3,2,-0.8012753873974037,Rhodospirillaceae
Sporobacter 5,Trimodal - C 4,2,0.8907157774631027,Ruminococcaceae
Clostridium_g24 3,Trimodal - C 1,2,0.9027167551847435,Lachnospiraceae
Barnesiella 2,Trimodal - C 1,2,0.8034587672640452,Porphyromonadaceae
Barnesiella 2,Trimodal - C 3,2,-0.9480204370408277,Porphyromonadaceae
GU303868_g 1,Trimodal - C 4,2,-0.6152085716131397,S24-7_f
Barnesiella 4,Trimodal - C 1,2,-0.903993668656997,Porphyromonadaceae
Barnesiella 4,Trimodal - C 4,2,-1.0378810928983722,Porphyromonadaceae
Barnesiella 4,Trimodal - C 3,2,-1.3308904867203135,Porphyromonadaceae
Bifidobacterium 4,Trimodal - C 3,2,-1.9393908454796152,Bifidobacteriaceae
Butyrivibrio_g1 2,Trimodal - C 3,2,-2.0366039555172852,Lachnospiraceae
