taxa,variable,number_of_positive_tests ,effectsize,family
Prevotella 1,M&R Upregulated metabolic sets,2,-2.074200576524734,Prevotellaceae
Prevotella 1,M&R CMV seropositive,2,-1.1218228917946265,Prevotellaceae
Prevotella 1,M&R Higher BMI (Prevotella),4,1.152134944757533,Prevotellaceae
Blautia 2,M&R Ruminococcaceae & Christensenellaceae - driven,3,-0.25580173346465945,Lachnospiraceae
Sporobacter 27,M&R Higher BMI (Prevotella),2,-0.3785985147122881,Ruminococcaceae
AB009176_g 25,M&R CMV seropositive,3,0.5480084874066758,Ruminococcaceae
AB009176_g 25,M&R Higher BMI (Prevotella),2,-0.6611424308126682,Ruminococcaceae
Odoribacter 1,M&R Ruminococcaceae & Christensenellaceae - driven,2,0.14404062469319057,Odoribacteraceae
Odoribacter 1,M&R Higher BMI (Prevotella),2,-0.34308743237260403,Odoribacteraceae
Eubacterium_g8 1,M&R Higher BMI (Prevotella),2,-0.6296375257365828,Ruminococcaceae
Clostridium_g6 2,M&R Upregulated metabolic sets,3,0.6135145299616948,Erysipelotrichaceae
Clostridium_g6 2,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.582843154223109,Erysipelotrichaceae
Clostridium_g6 2,M&R Higher BMI (Prevotella),2,-0.3709326113926987,Erysipelotrichaceae
Bacteroides 16,M&R Upregulated metabolic sets,4,0.9410522534192222,Bacteroidaceae
Bacteroides 16,M&R Ruminococcaceae & Christensenellaceae - driven,2,-0.531500714003539,Bacteroidaceae
Bacteroides 16,M&R Higher BMI (Prevotella),3,-1.3142698180231536,Bacteroidaceae
Eubacterium_g7 1,M&R Upregulated metabolic sets,3,-2.0240249594849855,Lachnospiraceae
Prevotella 2,M&R Upregulated metabolic sets,3,-2.7607677326986013,Prevotellaceae
Prevotella 2,M&R CMV seropositive,2,-1.568560775527114,Prevotellaceae
Prevotella 2,M&R Higher BMI (Prevotella),3,1.1161464607033282,Prevotellaceae
Ruminococcus_g4 4,M&R Higher BMI (Prevotella),3,-0.7539642056197112,Lachnospiraceae
Alistipes 4,M&R Upregulated metabolic sets,2,-1.6962386088302563,Rikenellaceae
Alistipes 4,M&R Ruminococcaceae & Christensenellaceae - driven,2,1.833401999160302,Rikenellaceae
Alistipes 4,M&R CMV seropositive,2,-1.112228885798258,Rikenellaceae
Lachnospira 2,M&R CMV seropositive,3,0.5469334958281934,Lachnospiraceae
Lachnospira 2,M&R Higher BMI (Prevotella),2,-0.5032368887975716,Lachnospiraceae
